"word","is_pun","pun_type","sentence"
"pepper","true","homographic","The reporters peppered the senator with questions after the announcement."
"sauce","false","","The simmering tomato sauce filled the kitchen with a rich aroma."
"sauce","true","homographic","He walked into the interview with more sauce than the job actually called for."
"stew","false","","The beef stew simmered on low heat for most of the afternoon."
"stew","true","homographic","She let the bad news stew in her mind long after the call ended."
"soup","false","","He ladled the hot vegetable soup into two wide bowls."
"soup","true","homographic","Once the deadline slipped again, the whole project was really in the soup."
"mustard","false","","He spread a thin layer of mustard on the pretzel."
"mustard","true","homographic","The rookie pitcher just could not cut the mustard against the league's best hitters."
"relish","false","","She added a spoonful of relish to the hot dog."
"relish","true","homographic","He seemed to relish every single minute of the championship game."
"juice","false","","She squeezed fresh orange juice for breakfast every morning."
"juice","true","homographic","The new coach brought a lot of juice and energy to a tired old team."
"squash","false","","The farmer roasted butternut squash with olive oil and thyme."
"squash","true","homographic","The committee moved quickly to squash any rumors about the merger."
"date","false","","She added chopped dates to the batter for extra sweetness."
"date","true","homographic","He was too nervous to even ask her out on a first date."
"fig","false","","The tree in the courtyard produced sweet purple figs every August."
"fig","true","homographic","Honestly, after everything that happened, he did not give a fig about the outcome."
"bass","false","","The angler reeled in a largemouth bass just before sunset."
"bass","true","homographic","The singer's voice dropped into a deep bass during the final chorus."
"kiwi","false","","She sliced the kiwi and arranged it on the fruit tart."
"kiwi","true","homographic","The tour guide joked that even the local kiwi birds seemed camera-shy."
"sage","false","","He rubbed the roast with rosemary, sage, and a bit of garlic."
"sage","true","homographic","The old professor was regarded as something of a sage among the students."
"bay","false","","She dropped a bay leaf into the simmering broth."
"bay","true","homographic","New security cameras finally kept the late-night vandals at bay."
"waffle","false","","He topped his waffle with syrup, berries, and whipped cream."
"waffle","true","homographic","The senator kept waffling on the issue instead of giving a straight answer."
"crumb","false","","She brushed the crumbs off the counter after slicing the cake."
"crumb","true","homographic","Not even a crumb of evidence, the detective muttered, closing the empty file."
"pit","false","","She removed the pit from the peach before slicing it."
"pit","true","homographic","The rumor left him with a knot in the pit of his stomach all through dinner."
"pod","false","","She shelled the peas straight from the pod into a bowl."
"pod","true","homographic","The new hires moved through onboarding like peas in a pod, inseparable from day one."
"crumble","false","","She baked an apple crumble with a buttery oat topping."
"crumble","true","homographic","Under the pressure of the final question, his composure began to crumble."
"glaze","false","","The baker brushed a sweet glaze over the warm donuts."
"glaze","true","homographic","By the third hour of the lecture, most students had a glazed look in their eyes."
"zest","false","","She grated lemon zest over the finished pasta dish."
"zest","true","homographic","He approached every new project with real zest, even the boring ones."
"skewer","false","","He threaded the chicken and peppers onto a metal skewer."
"skewer","true","homographic","The satirist loved nothing more than to skewer politicians in his weekly column."
"baste","false","","She basted the turkey every thirty minutes to keep it moist."
"baste","true","homographic","Grandma still bastes her quilts by hand instead of using a sewing machine."
"whisk","false","","He whisked the eggs and milk together for the omelet."
"whisk","true","homographic","The magician seemed to whisk the coin away before anyone even blinked."
"dice","false","","She diced the onions finely before adding them to the pan."
"dice","true","homographic","He decided to just roll the dice and take the riskier job offer."
"mince","false","","The butcher minced the beef for the meatballs."
"mince","true","homographic","She never minces words when giving feedback on a rough draft."
"spread","false","","He spread butter evenly across the warm toast."
"spread","true","homographic","The rumor managed to spread through the office before lunch was even over."
"loaf","false","","She sliced the fresh loaf of bread for sandwiches."
"loaf","true","homographic","Instead of studying, he decided to loaf around the house all weekend."
"core","false","","She cored the apple before slicing it into wedges."
"core","true","homographic","Honesty is one of the core values the company says it stands for."
"seed","false","","He removed the seeds from the pepper before chopping it."
"seed","true","homographic","As the tournament's top seed, she was expected to reach the final easily."
"brew","false","","She let the tea brew for five minutes before pouring it."
"brew","true","homographic","Something was clearly brewing between the two rival companies all year."
"flour","false","","She sifted the flour before adding it to the mixing bowl."
"flour","true","homophonic","The baker joked that her garden grows flowers while her kitchen only grows flour."
"thyme","false","","She sprinkled fresh thyme over the roasted vegetables."
"thyme","true","homophonic","He said he would fix the fence eventually, given enough thyme."
"mussel","false","","The chef steamed the mussels in white wine and garlic."
"mussel","true","homophonic","The strongman joked that his favorite seafood was, unsurprisingly, mussels."
"meat","false","","The butcher trimmed the fat from the meat before wrapping it."
"meat","true","homophonic","They agreed to meet at the same restaurant to discuss the merger."
"beet","false","","She roasted the beets with olive oil and rosemary."
"beet","true","homophonic","The drummer kept perfect beat through the entire three-hour set."
"steak","false","","He grilled the steak to a perfect medium-rare."
"steak","true","homophonic","The gambler decided to stake everything on one final hand of cards."
"chili","false","","She simmered a pot of chili with beans and ground beef."
"chili","true","homophonic","It got so chilly overnight that the pipes nearly froze."
"currant","false","","The scone was studded with dried currants."
"currant","true","homophonic","The current pulled the swimmers further from shore than they expected."
"wine","false","","He poured two glasses of red wine with dinner."
"wine","true","homophonic","The toddler began to whine the moment his nap was interrupted."
"leek","false","","She chopped the leek finely for the potato soup."
"leek","true","homophonic","There was a leak in the roof that soaked the attic during the storm."
"yolk","false","","The yolk stayed perfectly runny in the poached egg."
"yolk","true","homophonic","He told the same old joke at every family dinner without fail."
"sole","false","","The chef pan-seared a fillet of sole with lemon butter."
"sole","true","homophonic","She poured her whole soul into the painting for months."
"pear","false","","She sliced a ripe pear for the cheese board."
"pear","true","homophonic","The two old friends made an unlikely pair at the reunion."
"berry","false","","They picked wild berries along the forest trail."
"berry","true","homophonic","The dog decided to bury the bone in the backyard again."
"cereal","false","","He poured milk over a bowl of cereal for breakfast."
"cereal","true","homophonic","The show became a serial hit after its surprising second season."
"roe","false","","The chef garnished the sushi with a spoonful of roe."
"roe","true","homophonic","They had to row the small boat back before the storm hit."
"peas","false","","She shelled the peas straight into a saucepan."
"peas","true","homophonic","Peas be quiet, the librarian whispered with a small smile."
"lime","false","","She squeezed lime over the grilled shrimp tacos."
"lime","true","homophonic","The hikers were warned to check for ticks and possible Lyme disease after the trail."
"orange","false","","He peeled an orange and split it into segments."
"orange","true","homophonic","Orange you glad the meeting finally got moved to Friday?"
"celery","false","","She chopped celery for the soup's mirepoix base."
"celery","true","homophonic","He joked that his celery was barely enough to cover rent this month."
"lettuce","false","","She washed the lettuce and tore it into the salad bowl."
"lettuce","true","homophonic","Lettuce begin the ceremony, the officiant said with a small grin."
"olive","false","","He added a handful of olives to the antipasto platter."
"olive","true","homophonic","Olive you, he mouthed silently across the crowded room."
"honeydew","false","","She sliced the honeydew melon into thin wedges."
"honeydew","true","homophonic","Before he left for work, she reminded him of the honeydew list on the fridge."
"raisin","false","","She added a handful of raisins to the oatmeal cookies."
"raisin","true","homophonic","He could not think of a single good raisin to skip the meeting."
"plum","false","","She picked a ripe plum from the tree in the yard."
"plum","true","homophonic","The plumber checked every plumb line before sealing the new pipes."
"herb","false","","She grew basil, mint, and other fresh herbs on the windowsill."
"herb","true","homophonic","Herb from accounting always brings fresh basil from his own garden."
"carrot","false","","She peeled and chopped the carrot for the stew."
"carrot","true","homophonic","The jeweler weighed the ring carefully, checking its exact carat count."
"stock","false","","She kept a jar of homemade chicken stock in the freezer for soups."
"stock","true","homographic","After the merger rumors, everyone in the office was talking about the company's stock."
"peel","false","","She peeled the potatoes before dropping them into the pot."
"peel","true","homographic","He had to peel out of the driveway the second he heard the news."
"pulp","false","","She strained the pulp from the juice before serving it cold."
"pulp","true","homographic","By the end of the boxing match, his opponent had been beaten to a pulp."
"oat","false","","He soaked the oats overnight for a quicker breakfast in the morning."
"oat","true","homographic","After the big win, the whole team was clearly feeling their oats."
"hops","false","","The brewery imported special hops for their new seasonal ale."
"hops","true","homographic","The rabbit hops across the yard every morning before breakfast."
"icing","false","","She spread a thin layer of icing over the cooled cupcakes."
"icing","true","homographic","Getting the corner office was just the icing on an already great promotion."
"filling","false","","The pie had a warm cherry filling beneath its golden crust."
"filling","true","homographic","The dentist said she needed a filling after the routine checkup."
"topping","false","","He added a generous topping of whipped cream to the sundae."
"topping","true","homographic","The reviewer called the new restaurant absolutely topping in every way."
"garnish","false","","The chef added a sprig of parsley as a garnish before plating."
"garnish","true","homographic","The court ordered his wages garnished until the debt was fully paid."
"vinegar","false","","She splashed a bit of vinegar over the fish and chips."
"vinegar","true","homographic","Even after losing, the rookie still played with plenty of vinegar."
"ketchup","false","","He squeezed ketchup over his fries before taking a bite."
"ketchup","true","homophonic","She promised to ketchup with old friends once the semester finally ended."
"fudge","false","","The shop sold thick slabs of chocolate fudge at the counter."
"fudge","true","homographic","He had to fudge the numbers slightly to make the budget look balanced."
"candy","false","","The kids sorted their Halloween candy into neat little piles."
"candy","true","homographic","He tried to candy his way out of the argument with a few sweet compliments."
"mint","false","","She grew fresh mint in a small pot on the windowsill."
"mint","true","homographic","The old comic books were kept in mint condition inside plastic sleeves."
"gum","false","","He chewed a piece of gum while waiting for the bus."
"gum","true","homographic","One missing part managed to gum up the entire assembly line."
"brittle","false","","She broke off a piece of peanut brittle for dessert."
"brittle","true","homographic","After the long illness, his health felt brittle for months afterward."
"melon","false","","She sliced the melon into thin wedges for the fruit salad."
"melon","true","homographic","Use your melon for a second and think before you answer."
"gourd","false","","They carved the gourd into a small decorative bowl."
"gourd","true","homographic","He was completely out of his gourd trying to finish the marathon on no sleep."
"pumpkin","false","","They carved a pumpkin for the porch just before Halloween."
"pumpkin","true","homographic","Good morning, pumpkin, she said, ruffling her son's hair."
"biscuit","false","","She served warm biscuits alongside the fried chicken."
"biscuit","true","homographic","His last-minute goal really took the biscuit for play of the season."
"pretzel","false","","He dipped the warm pretzel in mustard before taking a bite."
"pretzel","true","homographic","By the end of the yoga class, her legs were twisted like a pretzel."
"ale","false","","The pub served a rotating selection of local craft ale."
"ale","true","homophonic","A nasty cold left him feeling more than a little ale this week."
"preserve","false","","She spread a spoonful of raspberry preserve over her toast."
"preserve","true","homographic","The new law was designed to preserve the old growth forest for future generations."
"jelly","false","","He spread grape jelly over the peanut butter sandwich."
"jelly","true","homographic","Watching the horror movie left her legs feeling like jelly."
"kettle","false","","She filled the kettle and set it on the stove to boil."
"kettle","true","homographic","Calling him messy was a bit of the pot calling the kettle black."
"onion","false","","She chopped the onion finely for the soup base."
"onion","true","homographic","He really knows his onions when it comes to vintage cars."
"cabbage","false","","She shredded cabbage for the coleslaw."
"cabbage","true","homographic","He had saved enough cabbage to finally buy the new truck."
"rhubarb","false","","She baked a rhubarb pie with a lattice crust."
"rhubarb","true","homographic","The coaches got into a real rhubarb over the referee's call."
"grapevine","false","","The grapevine climbed steadily up the wooden trellis."
"grapevine","true","homographic","She heard through the grapevine that the office was moving downtown."
"pineapple","false","","She sliced the pineapple into thick, juicy rings."
"pineapple","true","homographic","The old soldier joked that he still remembered ducking from a pineapple or two."
"coconut","false","","He cracked open the coconut and drained the water inside."
"coconut","true","homographic","Use your coconut for a second before making a decision like that."
"wheat","false","","The combine harvested acres of golden wheat before the storm."
"wheat","true","homographic","The editor tried to separate the wheat from the chaff in the pile of submissions."
"muffin","false","","She baked a batch of blueberry muffins for breakfast."
"muffin","true","homographic","After the holidays, he joked about hiding his new muffin top under looser shirts."
"spaghetti","false","","She boiled the spaghetti until it was perfectly al dente."
"spaghetti","true","homographic","The old function was such a mess of spaghetti code that nobody wanted to touch it."
"macaroni","false","","She baked a tray of macaroni and cheese for the potluck."
"macaroni","true","homographic","The portrait showed a fashionable macaroni from the eighteenth century, feather in his cap."
"milk","false","","She poured a glass of milk to go with the cookies."
"milk","true","homographic","There's no use crying over spilled milk at this point."
"butter","false","","He spread butter over the warm dinner roll."
"butter","true","homographic","She tried to butter up her boss before asking for the day off."
"cheddar","false","","The shop sold a sharp aged cheddar imported from England."
"cheddar","true","homographic","He finally had enough cheddar saved up for a down payment."
"whey","false","","The cheesemaker drained the whey before pressing the curds."
"whey","true","homophonic","There's no whey he's going to finish that whole project by Friday."
"pork","false","","The butcher trimmed the pork before wrapping it for the customer."
"pork","true","homographic","Critics called the new budget bloated with pork barrel spending."
"lamb","false","","The lamb grazed close to its mother in the pasture."
"lamb","true","homographic","Grandma always called her youngest grandchild her sweet little lamb."
"salami","false","","He sliced the salami thin for the antipasto platter."
"salami","true","homographic","The negotiators used salami tactics, chipping away at the deal piece by piece."
"cod","false","","The fisherman hauled in a heavy catch of cod at dawn."
"cod","true","homographic","His argument was really just a bit of cod philosophy dressed up to sound smart."
"trout","false","","The angler released the trout gently back into the stream."
"trout","true","homographic","After the surgery, she joked about her new, slightly puffier trout pout."
"sardine","false","","The tin of sardines was packed in olive oil."
"sardine","true","homographic","By rush hour, the subway car was packed like sardines."
"scallop","false","","The chef seared the scallops in butter for just two minutes."
"scallop","true","homographic","The tailor added a delicate scalloped edge to the hem of the dress."
"toffee","false","","She handed out pieces of toffee wrapped in wax paper."
"toffee","true","homographic","He always came across as a bit toffee-nosed at family gatherings."
"marshmallow","false","","They roasted marshmallows over the campfire until golden brown."
"marshmallow","true","homographic","Despite his tough exterior, he was a total marshmallow whenever his kids were around."
"pudding","false","","She stirred the pudding constantly so it wouldn't scorch."
"pudding","true","homographic","The proof of the plan's success would be in the pudding, as they say."
"brownie","false","","She cut the brownies into neat little squares once they cooled."
"brownie","true","homographic","He earned some serious brownie points for remembering her birthday."
"cupcake","false","","She piped swirls of frosting onto each cupcake."
"cupcake","true","homographic","Thanks, cupcake, he said, giving his little sister a quick hug."
"donut","false","","He grabbed a glazed donut on his way out the door."
"donut","true","homographic","The rookie scored a total donut in his first game of the season."
"coffee","false","","She brewed a fresh pot of coffee before the meeting."
"coffee","true","homographic","It's time to wake up and smell the coffee about this failing plan."
"tea","false","","She steeped the tea for exactly four minutes before pouring."
"tea","true","homographic","Gossip like that just isn't really her cup of tea."
"beer","false","","He poured a cold beer into a frosted mug."
"beer","true","homographic","By the end of the night, his beer goggles were clearly working overtime."
"rum","false","","The bartender mixed dark rum with lime and ginger beer."
"rum","true","homographic","The whole contract turned out to be a rather rum deal for everyone involved."
"gin","false","","She ordered a gin and tonic with a slice of lime."
"gin","true","homographic","The invention of the cotton gin changed the textile industry forever."
"cocktail","false","","The bartender shook the cocktail with ice before straining it."
"cocktail","true","homographic","Doctors warned about the dangerous cocktail of medications he was mixing."
"smoothie","false","","She blended a smoothie with spinach, banana, and yogurt."
"smoothie","true","homographic","He was such a smoothie that nobody noticed the sales pitch until it was over."
"lemonade","false","","The kids sold lemonade from a stand on the corner."
"lemonade","true","homographic","When the deal fell through, she decided to make lemonade out of the situation instead."
"punch","false","","She ladled fruit punch into paper cups at the party."
"punch","true","homographic","His counterargument really packed a punch during the debate."
"nutmeg","false","","She grated fresh nutmeg over the eggnog."
"nutmeg","true","homographic","The winger nutmegged the defender before slotting the ball into the net."
"ginger","false","","She added fresh ginger to the stir-fry for extra heat."
"ginger","true","homographic","He's been teased about his ginger hair since he was a kid."
"basil","false","","She grew basil on the windowsill for fresh pesto."
"basil","true","homographic","Basil from the front desk always remembers everyone's name."
"rosemary","false","","She rubbed the roast with rosemary before putting it in the oven."
"rosemary","true","homographic","Rosemary from next door brings over cookies every single holiday."
"dill","false","","She added fresh dill to the potato salad."
"dill","true","homographic","Quit acting like such a dill and just admit you were wrong."
"vanilla","false","","She stirred vanilla extract into the cake batter."
"vanilla","true","homographic","Compared to his usual wild ideas, this plan felt pretty vanilla."
"curry","false","","She simmered the curry with coconut milk and fresh chilies."
"curry","true","homographic","He spent the whole meeting trying to curry favor with the new boss."
"bake","false","","She let the bread bake for exactly forty minutes."
"bake","true","homographic","His plan for the surprise party was still pretty half-baked."
"boil","false","","She let the water boil before adding the pasta."
"boil","true","homographic","The constant delays made his blood absolutely boil."
"fry","false","","She let the chicken fry until golden and crisp."
"fry","true","homographic","Compared to the big competitors, their startup was still just small fry."
"grill","false","","He grilled the vegetables alongside the burgers."
"grill","true","homographic","The lawyers spent hours grilling the witness on the stand."
"roast","false","","She let the chicken roast slowly for two hours."
"roast","true","homographic","The comedians took turns roasting the guest of honor all night."
"steam","false","","She steamed the broccoli until it was tender."
"steam","true","homographic","He needed to let off some steam after the stressful meeting."
"poach","false","","She poached the eggs gently in simmering water."
"poach","true","homographic","The rival company tried to poach their best engineer with a bigger salary."
"simmer","false","","She let the sauce simmer for twenty minutes."
"simmer","true","homographic","He told everyone to simmer down before things got out of hand."
"blanch","false","","She blanched the almonds before slipping off their skins."
"blanch","true","homographic","He blanched at the sight of the final invoice."
"marinate","false","","She let the chicken marinate overnight in the fridge."
"marinate","true","homographic","He decided to let the idea marinate for a few more days before deciding."
"season","false","","She seasoned the soup with salt and fresh herbs."
"season","true","homographic","The team looked completely different heading into the new season."
"chop","false","","She chopped the vegetables into even pieces."
"chop","true","homographic","Chop chop, the coach shouted, hurrying the team off the field."
"slice","false","","She sliced the bread into thin, even pieces."
"slice","true","homographic","That one scene was just a small slice of life in an otherwise ordinary film."
"grate","false","","She grated the cheese directly over the pasta."
"grate","true","homographic","The constant tapping on the desk began to grate on everyone's nerves."
"knead","false","","She kneaded the dough until it turned smooth and elastic."
"knead","true","homophonic","There's no need to knead the argument any further, everyone already agrees."
"ferment","false","","The grapes were left to ferment in oak barrels for months."
"ferment","true","homographic","Rumors of layoffs began to ferment unrest throughout the office."
"cure","false","","The butcher cured the ham with salt and spices for weeks."
"cure","true","homographic","Researchers were hopeful they had finally found a cure for the disease."
"smoke","false","","They smoked the brisket low and slow for twelve hours."
"smoke","true","homographic","Where there's smoke, there's usually fire, her grandmother always said."
"whip","false","","She whipped the cream until soft peaks formed."
"whip","true","homographic","The new manager quickly whipped the disorganized team into shape."
"fold","false","","She folded the beaten egg whites gently into the batter."
"fold","true","homographic","With a weak hand, he decided to fold rather than risk it all."
"stir","false","","She stirred the risotto constantly so it wouldn't stick."
"stir","true","homographic","The announcement managed to stir up quite a bit of controversy online."
"blend","false","","She blended the spices together before rubbing them on the meat."
"blend","true","homographic","He tried to blend in with the crowd despite the bright yellow jacket."
"strain","false","","She strained the broth through a fine mesh sieve."
"strain","true","homographic","The long hours were putting a real strain on the whole team."
"sift","false","","She sifted the flour before folding it into the batter."
"sift","true","homographic","Detectives spent the whole week sifting through old case files."
"sandwich","false","","She packed a turkey sandwich for lunch."
"sandwich","true","homographic","The tiny apartment was sandwiched between two much larger buildings."
"hash","false","","She fried up a plate of corned beef hash for breakfast."
"hash","true","homographic","He really made a hash of things by forgetting the client's name."
"dumpling","false","","She folded each dumpling by hand before steaming them."
"dumpling","true","homographic","Come here, you little dumpling, she said, scooping up her toddler."
"wonton","false","","The soup was filled with delicate pork wontons."
"wonton","true","homophonic","The rumors accused the executive of wonton disregard for the rules, though everyone meant wanton."
"dessert","false","","She served a slice of chocolate cake for dessert."
"dessert","true","homophonic","Getting lost in the desert was the last thing they expected on a weekend hike."
"side","false","","She ordered a side of fries with her sandwich."
"side","true","homographic","He always seemed to take her side no matter what the argument was about."
"serving","false","","She measured out a single serving of rice for the recipe."
"serving","true","homographic","The judge sentenced him to a year serving on the county's public works crew."
"helping","false","","She scooped a generous helping of mashed potatoes onto his plate."
"helping","true","homographic","The volunteers spent the whole weekend helping clean up the local park."
"snack","false","","She packed a small snack for the long car ride."
"snack","true","homographic","Everyone at the party agreed the new intern was an absolute snack."
"treat","false","","She handed out treats to the trick-or-treaters at the door."
"treat","true","homographic","He decided to treat himself to a nice dinner after the long week."
"bite","false","","She took a small bite of the sandwich before setting it down."
"bite","true","homographic","The new regulations were designed to take a real bite out of crime."
"feast","false","","The family gathered for a big holiday feast."
"feast","true","homographic","The tourists stood at the overlook, feasting their eyes on the sunset."
"buffet","false","","They piled their plates high at the hotel breakfast buffet."
"buffet","true","homographic","Strong winds buffeted the small boat all the way back to shore."
"diet","false","","She started a new diet after the holidays."
"diet","true","homographic","The proposal was debated for hours in the national diet before passing."
"ration","false","","Soldiers were given a strict daily food ration during the campaign."
"ration","true","homographic","He tried to ration out his patience carefully during the long meeting."
"fare","false","","The diner served simple, home-style fare at reasonable prices."
"fare","true","homophonic","It seemed only fair that everyone split the bill evenly this time."
"grub","false","","The chickens pecked at grubs in the freshly turned soil."
"grub","true","homographic","After the hike, everyone was starving and ready for some grub."
"chow","false","","The soldiers lined up at the chow hall for dinner."
"chow","true","homographic","Their new puppy was a scrappy little chow mix from the shelter."
"staple","false","","Rice is a staple food across much of Asia."
"staple","true","homographic","She reached for a staple to fix the torn pages of the report."
"produce","false","","She picked up fresh produce from the farmer's market."
"produce","true","homographic","The studio agreed to produce the film only after the budget was cut."
"yield","false","","The orchard's apple trees had an unusually large yield this year."
"yield","true","homographic","Drivers are required to yield to pedestrians at the crosswalk."
"harvest","false","","The farmers began the wheat harvest just after sunrise."
"harvest","true","homographic","Years of hard work finally let them harvest the benefits of their patience."
"crop","false","","The farmer rotated crops each season to keep the soil healthy."
"crop","true","homographic","She used a riding crop gently to guide the horse around the ring."
"graze","false","","The cattle grazed peacefully across the open field."
"graze","true","homographic","He grazed his knee pretty badly falling off the skateboard."
"feed","false","","She scattered feed for the chickens every morning."
"feed","true","homographic","He spent the whole afternoon scrolling through his social media feed."
"fodder","false","","Farmers stored fodder in the barn to last through winter."
"fodder","true","homographic","The scandal quickly became fodder for late-night talk show jokes."
"oven","false","","She preheated the oven before sliding in the tray of cookies."
"oven","true","homographic","They joked that with the baby due any day, she really had a bun in the oven."
"pot","false","","She stirred the soup simmering in the big pot."
"pot","true","homographic","Winning the lottery felt like hitting the jackpot after years of bad luck."
"pan","false","","She heated a bit of oil in the pan before adding the onions."
"pan","true","homographic","Critics panned the new movie almost as soon as it hit theaters."
"brandy","false","","He poured a small glass of brandy after dinner."
"brandy","true","homographic","Brandy from marketing always brings the best snacks to team lunches."
"starch","false","","She added a splash of starch to thicken the sauce."
"starch","true","homographic","He always kept his dress shirts stiff with plenty of starch."
"plate","false","","She served the pasta on a large white plate."
"plate","true","homographic","With finals and two jobs, he really had a lot on his plate this month."
"bowl","false","","She filled the bowl with fresh salad greens."
"bowl","true","homographic","The linebacker bowled straight through the offensive line."
"cup","false","","She poured hot chocolate into a ceramic cup."
"cup","true","homographic","Every country dreams of one day lifting the World Cup."
"glass","false","","She poured sparkling water into a tall glass."
"glass","true","homographic","People in glass houses really shouldn't throw stones, her father reminded her."
"mug","false","","She warmed her hands around a mug of hot cider."
"mug","true","homographic","Police released a sketch after the tourist was mugged near the station."
"fork","false","","She set a fork and knife beside each plate."
"fork","true","homographic","They finally had to fork over the deposit before the landlord would sign the lease."
"spoon","false","","She stirred the soup with a large wooden spoon."
