"word","is_pun","pun_type","sentence"
"kitten","false","","The kitten chased a ball of yarn across the living room floor."
"kitten","true","homographic","After the flu, he felt as weak as a kitten for nearly a week."
"puppy","false","","The puppy chewed happily on an old rope toy."
"puppy","true","homographic","Their middle school romance was nothing more than puppy love."
"lion","false","","The lion rested in the shade during the hottest part of the day."
"lion","true","homographic","The senior partner took the lion's share of the credit for the project."
"tiger","false","","The tiger paced along the edge of its enclosure at the zoo."
"tiger","true","homographic","Without funding, the new policy turned out to be nothing but a paper tiger."
"snake","false","","The snake slid silently beneath a pile of dry leaves."
"snake","true","homographic","Turns out his so-called business partner was a total snake."
"toad","false","","The toad hopped across the wet pavement after the rain."
"toad","true","homophonic","Her car had to be towed after it stalled on the highway."
"goat","false","","The goat climbed onto the old wooden fence post."
"goat","true","homographic","Fans still argue about who deserves to be called the GOAT of the sport."
"sheep","false","","The sheep grazed peacefully on the hillside all morning."
"sheep","true","homographic","He was always considered the black sheep of the family."
"hound","false","","The hound followed the scent trail deep into the woods."
"hound","true","homographic","Reporters continued to hound the senator for a comment all week."
"hog","false","","The hog rooted around in the mud near the fence line."
"hog","true","homographic","He always hogs the remote whenever the family watches television."
"mule","false","","The mule carried heavy packs up the narrow mountain trail."
"mule","true","homographic","Once he makes up his mind, he is stubborn as a mule."
"crow","false","","A crow perched on the fence, watching the field below."
"crow","true","homographic","He couldn't stop crowing about his win at the poker table."
"hawk","false","","The hawk circled high above the open field, searching for prey."
"hawk","true","homographic","Vendors hawked souvenirs outside the stadium before the game."
"owl","false","","The owl hooted softly from a branch near the barn."
"owl","true","homographic","She has always been a night owl, working best after midnight."
"bat","false","","A bat swooped low over the pond, catching insects in the dark."
"bat","true","homographic","He gripped the bat tightly, waiting for the pitcher's next throw."
"moth","false","","A moth fluttered around the porch light all evening."
"moth","true","homographic","He was drawn to the free food table like a moth to a flame."
"wasp","false","","A wasp built a small nest under the porch eaves."
"wasp","true","homographic","Her waspish tone made it clear she was still annoyed about the delay."
"worm","false","","The worm burrowed deeper into the soil after the rain."
"worm","true","homographic","He finally managed to worm the truth out of his little brother."
"slug","false","","A slug left a slow, glistening trail across the garden path."
"slug","true","homographic","The two boxers were ready to slug it out for the title."
"snail","false","","The snail crept slowly along the damp garden wall."
"snail","true","homographic","The renovation project was moving at an absolute snail's pace."
"shrimp","false","","The shrimp scuttled along the sandy ocean floor."
"shrimp","true","homographic","Don't let his height fool you, that shrimp can really play basketball."
"lobster","false","","The lobster scuttled backward into a crevice in the reef."
"lobster","true","homographic","After a day at the beach, his shoulders were as red as a lobster."
"gnu","false","","A gnu grazed alongside the wildebeest herd on the savanna."
"gnu","true","homophonic","She bought a brand new car the moment the old one broke down."
"ewe","false","","The ewe nudged her lamb gently toward the barn."
"ewe","true","homophonic","I owe it all to you, he said, raising his glass at the toast."
"boar","false","","A wild boar rooted through the underbrush near the trail."
"boar","true","homophonic","The three-hour lecture on tax law was an absolute bore."
"wolf","false","","The wolf howled at the edge of the forest just after dusk."
"wolf","true","homographic","He wolfed down his lunch in under two minutes before the meeting."
"doe","false","","A doe and her fawn wandered quietly through the meadow."
"doe","true","homophonic","He always said the bakery job paid well, mostly in doe."
"mare","false","","The mare trotted gently around the paddock with her foal."
"mare","true","homographic","Planning the wedding on such short notice turned into an absolute nightmare."
"colt","false","","The colt wobbled on its legs just an hour after being born."
"colt","true","homographic","The old Colt revolver had been in the family for three generations."
"calf","false","","The calf stayed close to its mother in the pasture."
"calf","true","homographic","He pulled a muscle in his calf during the last mile of the race."
"kid","false","","The kid bounded around the pen, testing its wobbly new legs."
"kid","true","homographic","Stop acting like a kid and finish your homework before dinner."
"cub","false","","The cub tumbled playfully with its siblings outside the den."
"cub","true","homographic","He proudly wore his old Cub Scout badge to the reunion."
"fawn","false","","The fawn lay hidden in the tall grass until its mother returned."
"fawn","true","homographic","The interns couldn't help but fawn over the visiting celebrity chef."
"drake","false","","The drake's feathers shimmered green in the morning light."
"drake","true","homographic","Half the office spent the afternoon debating their favorite Drake album."
"gander","false","","The gander hissed at anyone who came too close to the pond."
"gander","true","homographic","Come take a gander at the new display before the store opens."
"tomcat","false","","The tomcat prowled the alley behind the restaurant every night."
"tomcat","true","homographic","In his younger years, he used to tomcat around every weekend."
"vixen","false","","The vixen led her kits back into the den at dawn."
"vixen","true","homographic","She strutted into the party looking like an absolute vixen."
"hen","false","","The hen settled onto her nest just before sunset."
"hen","true","homographic","Her older sister has always been a bit of a mother hen."
"monkey","false","","The monkey swung effortlessly from branch to branch in the forest canopy."
"monkey","true","homographic","The interns spent the whole afternoon on pure monkey business instead of filing reports."
"dog","false","","The dog trotted along the trail, sniffing every fallen leaf."
"dog","true","homographic","After the double shift, he felt absolutely dog tired by the time he got home."
"cat","false","","The cat curled up on the windowsill in a patch of afternoon sun."
"cat","true","homographic","Nobody wanted to be the one to let the cat out of the bag about the surprise party."
"rat","false","","A rat scurried along the subway tracks after the last train passed."
"rat","true","homographic","He felt like a total rat for ratting out his own roommate to the landlord."
"bird","false","","A small bird built its nest in the gutter above the porch."
"bird","true","homographic","From the rooftop, they finally got a bird's eye view of the whole parade."
"bug","false","","A bug crawled slowly across the kitchen windowsill."
"bug","true","homographic","The new software had a nasty bug that crashed the app every time it launched."
"ant","false","","A line of ants marched steadily toward the dropped crumb of bread."
"ant","true","homographic","She had ants in her pants all through the ceremony, desperate to get outside."
"bee","false","","A bee drifted lazily from flower to flower in the garden."
"bee","true","homographic","He had always been a busy bee, juggling three projects at once without complaint."
"frog","false","","A frog leapt from the lily pad the moment the shadow passed overhead."
"frog","true","homographic","Excuse me, I seem to have a frog in my throat this morning."
"shark","false","","The shark circled the reef slowly before disappearing into deeper water."
"shark","true","homographic","Everyone at the poker table knew he was a total card shark."
"turtle","false","","The turtle pulled its head into its shell at the first sign of danger."
"turtle","true","homographic","The canoe turtled in the rapids, dumping both paddlers into the cold river."
"lizard","false","","The lizard basked motionless on a warm, flat rock all afternoon."
"lizard","true","homographic","He spent the whole vacation as a lounge lizard by the hotel pool."
"python","false","","The python coiled tightly around a low branch to digest its meal."
"python","true","homographic","She spent the whole weekend debugging a script written entirely in Python."
"viper","false","","The viper struck quickly from beneath a pile of dry leaves."
"viper","true","homographic","Behind that friendly smile, his old business partner turned out to be a real viper."
"beetle","false","","A beetle burrowed into the rotting log beneath the porch steps."
"beetle","true","homographic","The old car in the driveway was a faded yellow Beetle from the seventies."
"cricket","false","","A cricket chirped steadily from somewhere in the tall grass."
"cricket","true","homographic","He grew up playing cricket every summer weekend with his cousins."
"spider","false","","A spider spun its web quietly in the corner of the porch."
"spider","true","homographic","The doctor pointed out a few spider veins beginning to form along her calf."
"flea","false","","A flea hopped from the stray cat onto the porch cushion."
"flea","true","homographic","She found the perfect lamp for a few dollars at the weekend flea market."
"tick","false","","She checked her dog carefully for ticks after the hike through the woods."
"tick","true","homographic","Nobody could quite figure out what made the new hire tick."
"louse","false","","The farmer treated the sheep for lice before shearing season began."
"louse","true","homographic","He completely loused up the presentation by forgetting his own slides."
"mole","false","","A mole tunneled through the lawn, leaving small mounds of dirt behind."
"mole","true","homographic","It turned out the leak came from a mole working quietly inside the agency."
"gopher","false","","A gopher poked its head out of a burrow near the garden fence."
"gopher","true","homographic","The intern spent most of his first week as the office gopher, fetching coffee and files."
"groundhog","false","","The groundhog emerged from its burrow and sniffed the cold morning air."
"groundhog","true","homographic","The meeting felt like Groundhog Day, repeating the same arguments week after week."
"badger","false","","A badger dug a new burrow at the edge of the wheat field."
"badger","true","homographic","She kept badgering her brother until he finally admitted where he had hidden the remote."
"ferret","false","","The ferret slipped through a narrow gap in the fence to explore the yard."
"ferret","true","homographic","It took the detective weeks to ferret out the truth behind the missing shipment."
"weasel","false","","A weasel darted along the stone wall bordering the old farmhouse."
"weasel","true","homographic","He tried to weasel out of paying his share of the dinner bill."
"skunk","false","","A skunk wandered across the backyard just after dusk."
"skunk","true","homographic","Our team got completely skunked, losing the match without scoring a single point."
"possum","false","","A possum froze in the porch light before slowly waddling away."
"possum","true","homographic","He decided to play possum and pretend to be asleep when his sister walked in."
"kangaroo","false","","The kangaroo bounded across the outback with its joey tucked in its pouch."
"kangaroo","true","homographic","The whole hearing felt like a kangaroo court with the verdict already decided."
"sloth","false","","The sloth hung motionless from a branch for most of the afternoon."
"sloth","true","homographic","His sloth over the weekend meant the dishes piled up for three days straight."
"beaver","false","","The beaver dragged a fresh branch toward its half-finished dam."
"beaver","true","homographic","As an eager beaver, she was always the first one in the office every morning."
"squirrel","false","","A squirrel buried an acorn near the base of the old oak tree."
"squirrel","true","homographic","He liked to squirrel away a little cash from every paycheck just in case."
"hamster","false","","The hamster stuffed its cheeks full of sunflower seeds before scurrying to its nest."
"hamster","true","homographic","By Thursday, the whole project felt like running on a hamster wheel with no end in sight."
"rabbit","false","","A rabbit nibbled on clover at the edge of the garden."
"rabbit","true","homographic","One simple question about the budget sent them down a rabbit hole for hours."
"pony","false","","The pony trotted around the paddock while the children watched from the fence."
"pony","true","homographic","The landlord expected them to pony up the deposit before signing the lease."
"donkey","false","","The donkey carried baskets of vegetables down the narrow mountain path."
"donkey","true","homographic","As usual, the new assistant ended up doing all the donkey work for the project."
"camel","false","","The camel plodded steadily across the dunes under the midday sun."
"camel","true","homographic","That last request was the straw that broke the camel's back for the whole team."
"buffalo","false","","A herd of buffalo grazed slowly across the open plain."
"buffalo","true","homographic","The lawyer's rapid-fire questions were clearly meant to buffalo the nervous witness."
"yak","false","","A shaggy yak grazed high on the mountainside above the village."
"yak","true","homographic","The two of them could yak for hours about absolutely nothing important."
"moose","false","","A moose waded through the shallow lake, chewing on water plants."
"moose","true","homophonic","The dessert menu featured a rich chocolate mousse that everyone wanted to try."
"crocodile","false","","The crocodile floated motionless near the riverbank, waiting for prey."
"crocodile","true","homographic","His apology sounded like nothing more than crocodile tears to everyone in the room."
"alligator","false","","An alligator slid silently into the murky swamp water."
"alligator","true","homophonic","See you later, alligator, she called out as she hopped off the bus."
"parrot","false","","The parrot perched on its stand, preening its bright green feathers."
"parrot","true","homographic","He just parroted whatever the last person in the meeting had said."
"peacock","false","","The peacock spread its tail feathers in a wide, colorful display."
"peacock","true","homographic","He couldn't help but peacock around the office in his brand new suit."
"pigeon","false","","A pigeon pecked at crumbs scattered across the plaza."
"pigeon","true","homographic","He suspected his old cellmate had become a stool pigeon for the police."
"horse","false","","The horse trotted around the paddock while its foal followed close behind."
"horse","true","homographic","The kids loved to horse around in the backyard until dinner was ready."
"cow","false","","The cow grazed slowly across the open pasture at sunrise."
"cow","true","homographic","Holy cow, he shouted, staring at the size of the grocery bill."
"goose","false","","A goose honked loudly as it waddled toward the pond."
"goose","true","homographic","If he keeps missing deadlines, it might just cook his goose for good."
"swan","false","","A swan glided silently across the still surface of the lake."
"swan","true","homographic","The retiring singer's final concert felt like a genuine swan song."
"dove","false","","A dove perched quietly on the telephone wire above the street."
"dove","true","homographic","He dove straight into the pool without even testing the water first."
"robin","false","","A robin hopped across the lawn, searching for worms after the rain."
"robin","true","homographic","Half the class debated whether Robin was really necessary in every Batman movie."
"ostrich","false","","The ostrich sprinted across the open plain at a surprising speed."
"ostrich","true","homographic","Ignoring the warning signs entirely, he acted like an ostrich with his head in the sand."
"quail","false","","A quail darted through the underbrush at the edge of the field."
"quail","true","homographic","He tends to quail at the first sign of any real confrontation."
"elephant","false","","The elephant sprayed water over its back to cool down in the heat."
"elephant","true","homographic","Nobody wanted to bring up the elephant in the room during dinner."
"rhino","false","","The rhino grazed calmly near the edge of the watering hole."
"rhino","true","homographic","After years in sales, he had developed a rhino-thick skin for rejection."
"leopard","false","","The leopard rested silently on a low branch above the trail."
"leopard","true","homographic","Old habits die hard, since a leopard never really changes its spots."
"cheetah","false","","The cheetah sprinted across the savanna, closing the gap in seconds."
"cheetah","true","homophonic","Turns out her ex was a total cheetah, seeing two people at once."
"jaguar","false","","The jaguar prowled quietly through the dense rainforest undergrowth."
"jaguar","true","homographic","He finally saved up enough to buy his dream car, a sleek used Jaguar."
"cougar","false","","The cougar stalked its prey silently along the ridge at dusk."
"cougar","true","homographic","Her older coworkers jokingly called her a cougar after she started dating a much younger intern."
"lynx","false","","The lynx blended almost perfectly into the snowy forest underbrush."
"lynx","true","homophonic","He spent the whole afternoon golfing on the newly renovated links."
"porpoise","false","","A porpoise surfaced briefly beside the fishing boat before diving again."
"porpoise","true","homophonic","She explained her whole plan on purpose, so nobody would be confused later."
"ray","false","","A ray glided silently across the sandy ocean floor."
"ray","true","homographic","A single ray of sunlight broke through the clouds just before the storm."
"jellyfish","false","","The jellyfish drifted slowly with the current near the shoreline."
"jellyfish","true","homographic","Faced with the angry crowd, the manager turned into a total jellyfish."
"barracuda","false","","A barracuda darted through the reef, startling a school of smaller fish."
"barracuda","true","homographic","In every negotiation, she was known as an absolute barracuda."
"herring","false","","The fishermen hauled in nets full of silvery herring at dawn."
"herring","true","homographic","The whole accusation turned out to be nothing but a red herring."
"flounder","false","","A flounder lay nearly invisible against the sandy seafloor."
"flounder","true","homographic","Without a clear plan, the whole committee began to flounder within minutes."
"sturgeon","false","","The sturgeon is prized for both its meat and its valuable roe."
"sturgeon","true","homophonic","After the accident, she was rushed straight into surgeon's care."
"carp","false","","A carp surfaced briefly near the edge of the pond."
"carp","true","homographic","He always finds something to carp about, no matter how the day goes."
"perch","false","","A perch swam lazily among the reeds near the dock."
"perch","true","homographic","The cat found a comfortable perch on top of the bookshelf."
"pike","false","","A pike lurked motionless near the fallen log at the bottom of the lake."
"pike","true","homographic","They had to pay a toll before merging onto the turnpike."
"greyhound","false","","The greyhound sprinted around the track well ahead of the pack."
"greyhound","true","homographic","They took the Greyhound bus overnight to save money on the trip."
"bloodhound","false","","The bloodhound followed the scent trail for nearly two miles."
"bloodhound","true","homographic","The reporter was a real bloodhound when it came to tracking down leaked documents."
"hyena","false","","A hyena circled the edge of the watering hole at dusk."
"hyena","true","homographic","He cackled like a hyena at his own joke before anyone else even laughed."
"jackal","false","","A jackal scavenged near the remains of the lion's kill."
"jackal","true","homographic","Investors called the takeover firm a jackal, circling struggling companies for profit."
"mink","false","","A mink darted along the riverbank, hunting for fish."
"mink","true","homographic","She wore an old mink coat that had belonged to her grandmother."
"porcupine","false","","The porcupine raised its quills the moment the dog got too close."
"porcupine","true","homographic","He could be a real porcupine about feedback, bristling at the smallest criticism."
"shrew","false","","A shrew darted through the underbrush, hunting for insects."
"shrew","true","homographic","The play was a modern retelling of The Taming of the Shrew."
"lemming","false","","A lemming scurried across the tundra ahead of the approaching snow."
"lemming","true","homographic","Everyone followed the new trend like lemmings, without asking a single question."
"watchdog","false","","The watchdog barked at every stranger who approached the gate."
"watchdog","true","homographic","A federal watchdog agency was assigned to review the company's spending."
"lapdog","false","","The lapdog curled up contentedly in her lap during the movie."
"lapdog","true","homographic","Critics accused the committee of acting like a lapdog for the industry it was meant to regulate."
"mutt","false","","The shelter's newest arrival was a scrappy little mutt with floppy ears."
"mutt","true","homographic","He grinned and admitted he was just a mutt when it came to fancy wine knowledge."
"pup","false","","The pup tumbled clumsily across the yard, chasing its own tail."
"pup","true","homographic","He's still just a pup in this industry, but he's learning fast."
"runt","false","","The runt of the litter needed a little extra help finding milk."
"runt","true","homographic","Being the runt of the family, he was used to being underestimated."
"goldfish","false","","The goldfish circled slowly inside its small glass bowl."
"goldfish","true","homographic","By the next meeting, he had completely forgotten the plan, true to his goldfish memory."
"cockle","false","","They gathered cockles from the mudflats at low tide."
"cockle","true","homographic","The old song always warmed the cockles of her heart."
"limpet","false","","A limpet clung tightly to the rock, unaffected by the crashing waves."
"limpet","true","homographic","Her little brother acted like a limpet, refusing to leave her side all day."
"swift","false","","A swift darted low across the rooftops, catching insects in flight."
"swift","true","homographic","The new delivery service promised swift, same-day shipping on every order."
"martin","false","","A purple martin swooped low over the pond at dusk."
"martin","true","homographic","Martin from accounting always double-checks every invoice before it goes out."
"kite","false","","A kite circled high above the cliffs, searching the ground below."
"kite","true","homographic","The kids flew a bright red kite at the park all afternoon."
"harrier","false","","A harrier glided low over the marsh, hunting for small rodents."
"harrier","true","homographic","The cross-country team, known as the harriers, trained on the same trail every morning."
"merlin","false","","A merlin dove sharply, chasing a smaller bird across the field."
"merlin","true","homographic","The old wizard in the story was clearly modeled after the legendary Merlin."
"kingfisher","false","","A kingfisher perched motionless on a branch above the stream."
"kingfisher","true","homographic","He ordered a Kingfisher lager to go with his curry at the restaurant."
"tern","false","","A tern dove sharply into the surf, emerging with a small fish."
"tern","true","homophonic","It was finally her turn to present the quarterly results to the board."
"gull","false","","A gull swooped down to snatch a fry right off the boardwalk table."
"gull","true","homographic","The scam was clever enough to gull even the most careful investors."
"booby","false","","A blue-footed booby danced awkwardly to attract a mate."
"booby","true","homographic","He set off the office booby trap he had rigged as an April Fools' joke."
"loon","false","","A loon called eerily across the still lake at dusk."
"loon","true","homographic","Everyone thought he was a total loon for quitting his job to sail around the world."
"coot","false","","A coot paddled quietly among the reeds at the edge of the pond."
"coot","true","homographic","Her grandfather was a stubborn old coot who refused any help carrying groceries."
"adder","false","","An adder basked in a patch of sunlight on the warm stone path."
"adder","true","homographic","The engineer explained how the binary adder combined two signals into one output."
"rattle","false","","The baby shook her rattle happily from the crib."
"rattle","true","homographic","The unexpected question seemed to rattle the candidate during the debate."
"butterfly","false","","A butterfly drifted lazily from flower to flower in the garden."
"butterfly","true","homographic","She had butterflies in her stomach right before walking on stage."
"caterpillar","false","","A caterpillar inched slowly along the underside of a leaf."
"caterpillar","true","homographic","The construction site was full of massive yellow Caterpillar excavators."
"hornet","false","","A hornet buzzed angrily around the disturbed nest under the eaves."
"hornet","true","homographic","The proposal stirred up a real hornet's nest of controversy at city hall."
"mite","false","","A tiny mite was barely visible on the surface of the leaf."
"mite","true","homographic","She donated what little she had, and it was received like the widow's mite."
"hermit","false","","A hermit crab dragged its borrowed shell slowly across the sand."
"hermit","true","homographic","After the divorce, he became something of a hermit, rarely leaving his apartment."
"gorilla","false","","The gorilla beat its chest before settling back down to eat."
"gorilla","true","homographic","Nobody wanted to address the 800-pound gorilla in the room during the budget meeting."
"baboon","false","","A baboon groomed a smaller member of the troop near the rocks."
"baboon","true","homographic","He acted like a total baboon at the wedding, embarrassing everyone at the table."
"puma","false","","A puma stalked silently along the ridge above the canyon."
"puma","true","homographic","He proudly laced up a brand new pair of Puma sneakers for the race."
"devil","false","","A Tasmanian devil let out a screeching growl as it fought over the carcass."
"devil","true","homographic","Speak of the devil, she said, just as he walked through the door."
"billy","false","","The billy goat butted the fence post repeatedly out of sheer stubbornness."
"billy","true","homographic","Billy from the warehouse always volunteers for the early morning shift."
"tom","false","","The old tom prowled the neighborhood rooftops every single night."
"tom","true","homographic","Peeping through the neighbor's window earned him a reputation as a real peeping tom."
"jenny","false","","The jenny brayed loudly whenever a stranger approached the pen."
"jenny","true","homographic","Jenny from HR always remembers everyone's birthday without fail."
"jack","false","","The jack pulled the wagon steadily up the narrow mountain trail."
"jack","true","homographic","He kept a tire jack in the trunk in case of a flat."
"shepherd","false","","The shepherd led the flock down from the hills before the storm hit."
"shepherd","true","homographic","The new manager tried to shepherd the team through a difficult transition."
"pointer","false","","The pointer froze mid-stride, nose aimed straight at the hidden pheasant."
"pointer","true","homographic","She used a laser pointer to highlight the chart during her presentation."
"setter","false","","The setter crouched low, locking onto the scent of nearby birds."
"setter","true","homographic","The volleyball team's setter delivered a perfect pass right to the net."
"bulldog","false","","The bulldog snored loudly on the porch in the afternoon heat."
"bulldog","true","homographic","He approached every negotiation with real bulldog tenacity, refusing to back down."
"falcon","false","","A falcon dove at incredible speed toward its unsuspecting prey."
"falcon","true","homographic","The stadium erupted when the Falcons scored in the final seconds."
"teal","false","","A pair of teal paddled quietly near the reeds at the edge of the marsh."
"teal","true","homographic","She repainted the bathroom a soft shade of teal over the weekend."
"ox","false","","The ox pulled the heavy plow steadily across the muddy field."
"ox","true","homographic","He was strong as an ox but clumsy as could be around anything breakable."
"pack rat","false","","A pack rat had filled the old cabin's walls with collected trinkets."
"pack rat","true","homographic","Her grandfather was a total pack rat, unable to throw anything away."
"bookworm","false","","A bookworm had chewed a small tunnel through the old paperback's spine."
"bookworm","true","homographic","As a lifelong bookworm, she finished nearly a hundred novels every year."
"animal","false","","The nature documentary followed a single animal across an entire migration season."
"animal","true","homographic","He was an absolute animal on the field, refusing to let up until the final whistle."
"workhorse","false","","The old workhorse pulled the plow from sunrise until well past noon."
"workhorse","true","homographic","That aging server has been the workhorse of our entire system for a decade."
"guinea pig","false","","The guinea pig squeaked excitedly whenever it heard the fridge door open."
"guinea pig","true","homographic","The interns joked about being guinea pigs for the company's new onboarding process."
"copycat","false","","The kitten watched intently, then pounced in exactly the same spot as its mother."
"copycat","true","homographic","Her little brother was such a copycat, ordering the exact same meal every time."
"hot dog","false","","He grilled a hot dog and topped it with mustard and relish."
"hot dog","true","homographic","The skier couldn't resist showing off, hot-dogging his way down the final slope."
"scapegoat","false","","In ancient rituals, a single goat was symbolically sent away carrying the community's sins."
"scapegoat","true","homographic","The intern ended up as the scapegoat for a mistake he never actually made."
"dark horse","false","","The dark horse in the third race surged ahead in the final stretch."
"dark horse","true","homographic","Nobody expected the quiet newcomer to become the dark horse candidate of the election."
"warhorse","false","","The old warhorse stood calmly even as cannons fired nearby during the reenactment."
"warhorse","true","homographic","That old battle-tested laptop has been a reliable warhorse for years."
"clotheshorse","false","","She hung the damp towels over the wooden clotheshorse in the laundry room."
"clotheshorse","true","homographic","Her sister was a total clotheshorse, always dressed like she stepped out of a magazine."
"hobbyhorse","false","","The toddler bounced happily on his wooden hobbyhorse in the living room."
"hobbyhorse","true","homographic","Tax reform was always his favorite hobbyhorse at every family dinner."
"lab rat","false","","The lab rat navigated the maze quickly after a few days of practice."
"lab rat","true","homographic","He joked that he felt like a lab rat, testing every new feature before launch."
"rat race","false","","A group of rats squeezed through the maze during the psychology experiment."
"rat race","true","homographic","She finally decided to leave the corporate rat race and start her own small farm."
"gym rat","false","","A rat scurried along the baseboards of the old gym's locker room."
"gym rat","true","homographic","As a total gym rat, he never missed a single morning workout."
"road hog","false","","A wild hog rooted through the ditch alongside the country road."
"road hog","true","homographic","The driver in front of them was a total road hog, refusing to let anyone pass."
"pack mule","false","","The pack mule carried heavy supplies steadily up the winding trail."
"pack mule","true","homographic","As the newest hire, he ended up as the office pack mule for every tedious task."
"one-trick pony","false","","The pony performed the same simple trick over and over at the fair."
"one-trick pony","true","homographic","Critics dismissed the band as a one-trick pony after their second album flopped."
"early bird","false","","An early bird was already singing outside long before sunrise."
"early bird","true","homographic","She always grabbed the early bird discount by booking her flights months in advance."
"jailbird","false","","A jailbird perched on the windowsill, pecking at crumbs left on the ledge."
"jailbird","true","homographic","The old jailbird swore he was a changed man after his release."
"snowbird","false","","A flock of snowbirds passed overhead, heading south for the winter."
"snowbird","true","homographic","Her grandparents were snowbirds, spending every winter in Florida instead of the cold."
"blackbird","false","","A blackbird sang from the fence post just after sunrise."
"blackbird","true","homographic","The museum's newest exhibit featured a retired Blackbird spy plane."
"mockingbird","false","","A mockingbird imitated three different birdsongs within a single minute."
"mockingbird","true","homographic","He was the office mockingbird, repeating whatever opinion he'd heard last."
"songbird","false","","A songbird trilled cheerfully from the top of the old oak tree."
"songbird","true","homographic","The critics called her the songbird of her generation after the album's release."
"silver fox","false","","A silver fox trotted silently across the frozen field at dusk."
"silver fox","true","homographic","Her new boss was a total silver fox, still sharp and charming at sixty."
"foxtrot","false","","A fox trotted lazily along the tree line at the edge of the farm."
"foxtrot","true","homographic","They spent the whole evening learning to foxtrot before the wedding."
"wolf pack","false","","A wolf pack moved silently through the snow-covered forest at dusk."
"wolf pack","true","homographic","The rival firm's lawyers descended on the negotiation like a wolf pack."
"lone wolf","false","","A lone wolf wandered far from its pack, searching for new territory."
"lone wolf","true","homographic","He always preferred working as a lone wolf rather than joining a big team."
"top dog","false","","The top dog in the litter always claimed the best spot by the fire."
"top dog","true","homographic","After the merger, nobody was quite sure who the new top dog would be."
"sea dog","false","","An old sea dog mended his nets on the dock every morning at dawn."
"sea dog","true","homographic","The retired captain was a real sea dog, full of stories from decades at sea."
"hair of the dog","false","","The stray dog's matted hair was finally brushed clean by the shelter staff."
"hair of the dog","true","homographic","He swore a little hair of the dog would fix his rough morning after the party."
"dog days","false","","The dog sprawled out on the porch through the hottest part of the afternoon."
"dog days","true","homographic","By the dog days of August, everyone in the office was ready for vacation."
"eagle","false","","An eagle circled high above the canyon, scanning for prey."
"eagle","true","homographic","He sank a long putt on the final hole for a rare eagle."
"vulture","false","","A vulture circled patiently above the carcass on the plain."
"vulture","true","homographic","Investors circled the struggling company like vultures the moment it filed for bankruptcy."
"seagull","false","","A seagull swooped down and stole a fry right off the table."
"seagull","true","homographic","The new manager's seagull style of leadership left the team feeling swooped on and abandoned."
"albatross","false","","An albatross glided for miles over the open ocean without a single wingbeat."
"albatross","true","homographic","The failed investment became a real albatross around the company's neck."
"canary","false","","A canary sang cheerfully from its cage by the kitchen window."
